left_hip_x_mean,left_hip_x_max,left_hip_x_min,left_hip_y_mean,left_hip_y_max,left_hip_y_min,left_hip_z_mean,left_hip_z_max,left_hip_z_min,right_hip_x_mean,right_hip_x_max,right_hip_x_min,right_hip_y_mean,right_hip_y_max,right_hip_y_min,right_hip_z_mean,right_hip_z_max,right_hip_z_min,left_knee_x_mean,left_knee_x_max,left_knee_x_min,left_knee_y_mean,left_knee_y_max,left_knee_y_min,left_knee_z_mean,left_knee_z_max,left_knee_z_min,right_knee_x_mean,right_knee_x_max,right_knee_x_min,right_knee_y_mean,right_knee_y_max,right_knee_y_min,right_knee_z_mean,right_knee_z_max,right_knee_z_min,left_ankle_x_mean,left_ankle_x_max,left_ankle_x_min,left_ankle_y_mean,left_ankle_y_max,left_ankle_y_min,left_ankle_z_mean,left_ankle_z_max,left_ankle_z_min,right_ankle_x_mean,right_ankle_x_max,right_ankle_x_min,right_ankle_y_mean,right_ankle_y_max,right_ankle_y_min,right_ankle_z_mean,right_ankle_z_max,right_ankle_z_min,left_shoulder_x_mean,left_shoulder_x_max,left_shoulder_x_min,left_shoulder_y_mean,left_shoulder_y_max,left_shoulder_y_min,left_shoulder_z_mean,left_shoulder_z_max,left_shoulder_z_min,right_shoulder_x_mean,right_shoulder_x_max,right_shoulder_x_min,right_shoulder_y_mean,right_shoulder_y_max,right_shoulder_y_min,right_shoulder_z_mean,right_shoulder_z_max,right_shoulder_z_min,right_knee_angle_mean,right_knee_angle_max,right_knee_angle_min,right_hip_angle_mean,right_hip_angle_max,right_hip_angle_min,right_ankle_angle_mean,right_ankle_angle_max,right_ankle_angle_min,left_ankle_angle_mean,left_ankle_angle_max,left_ankle_angle_min,left_hip_angle_mean,left_hip_angle_max,left_hip_angle_min,left_knee_angle_mean,left_knee_angle_max,left_knee_angle_min,trunk_angle_mean,trunk_angle_max,trunk_angle_min,label
0.7815601571136401,0.5977790609991738,0.8140577779118834,0.772118586864627,0.6823106107198984,0.8733121859310984,0.9082102900942003,0.774167106217339,0.882585886090735,0.2618314982380756,0.22294896358390925,0.516076405570213,0.5950919586904959,0.6366153194168631,0.62137405601392,0.09039540401236174,0.11848966165119285,0.2132947263254677,0.8663844443933453,0.6862792543279035,0.865097698929624,0.4212261770341854,0.23344097725799617,0.6137114701122046,0.7107328120240888,0.6648435856325587,0.7055508428419351,0.2971246899351936,0.2296795603916162,0.5356541947068827,0.7152179113697308,0.3210927527650398,0.8516404355028371,0.028364236959273148,0.0202527666656796,0.22203635158982316,0.899989198069731,0.6715016855994156,0.9228573216618106,0.24230776203543414,0.17628745398878465,0.6452071521522997,0.6535626894475455,0.637839948889978,0.5958569552136036,0.2386241181577331,0.2297652889644466,0.41208026913936235,0.9390158856895674,0.6409441991100442,0.9668494813829884,0.03583272418844774,0.05950123969691842,0.20406804325713518,0.866511732582353,0.676820648620498,0.8993648601384923,0.8031320395081876,0.7117147177229097,0.8844861299442384,0.8243646577446891,0.6933551904459994,0.7995282485363594,0.41574549760352664,0.412423157751749,0.543861477480486,0.6117738631246477,0.6455127694329215,0.6520544106730397,0.2621960089789991,0.17194382617713463,0.37313773866449074,0.20859004136357506,0.12045977346162218,0.4364411709423777,0.0791954987063277,0.01541762441797978,0.19480286184832027,0.5263527487603934,0.5868097792811504,0.8438086758508421,0.2737288274255114,0.21354993362860952,0.8125308400873978,0.36653903511069164,0.4858081202649043,0.1678431955092679,0.27512386757142315,0.6018213589731474,0.26371975626242605,0.5620590563614218,0.25649930724567227,0.6198700706442639,1
0.7887991972836463,0.7928224749076165,0.575731288622257,0.7800447190662911,0.7587117335041982,0.6228531053198889,0.909337505652626,0.8649451313472006,0.8125903230608412,0.2736692416060249,0.44267448572592727,0.3576285587120953,0.5855754568063665,0.7607015824305372,0.3690580847100797,0.09727368710304496,0.2407611477330871,0.16971081647312808,0.8623674387983584,0.7733843021573015,0.6850996902421098,0.3984978104261021,0.3701024627699958,0.488499821205556,0.7157866259794101,0.6702685213067092,0.6629561698442082,0.2822741368183239,0.42354135041004026,0.37872844135808004,0.7244282981928727,0.4646213335113387,0.6469315632093569,0.028171589261641095,0.062619273551836,0.19754688253650388,0.8830180419034415,0.8864460310755766,0.7613000158697592,0.2536554627703591,0.45246147199560305,0.5256295206853103,0.6520897759047832,0.6426005283762921,0.602323559881356,0.24631769552976568,0.4559363008688315,0.2598303027637425,0.9282558552850215,0.7848776297424607,0.8899223359724902,0.03695270825631192,0.0679829275271257,0.17991206486900668,0.8548127571436765,0.7757528700666354,0.7238007538358024,0.8036238632055404,0.7393014805027982,0.7215105591149724,0.8231612755411729,0.7057207621184252,0.8066276103058856,0.40143857699919927,0.5336396624568511,0.3824681803602292,0.6069520167073783,0.7064861680812187,0.5326243710654797,0.25824976594488125,0.1780842036712065,0.38273286155406283,0.208413107266608,0.17877860197177142,0.4303579770121018,0.07716248143722204,0.013661273212580927,0.16602153190430965,0.5357804573584506,0.6543803446016065,0.8116319810097026,0.2781985376447036,0.2979071182901416,0.8015003427712246,0.3693766579205695,0.5131239803922902,0.18269028605818244,0.2790177211354645,0.7092820622513507,0.2502128085731745,0.5532506909185937,0.37677100046054157,0.6362794795688838,1
0.7885686662165083,0.7529448114582884,0.6022959724695776,0.7573809298226442,0.7403812348437744,0.6138565426146965,0.9197915606284504,0.8696398254211666,0.7977748103956457,0.2681164398442064,0.35430258418625193,0.384682022305904,0.5907411793530519,0.7194928499157873,0.18730759802292152,0.09815951378766469,0.17853231893090085,0.1360934971638017,0.8831779709855114,0.7650935043133087,0.5956892718512101,0.46056925740302646,0.3728714380722291,0.3919621329149594,0.7108716512811667,0.6947429831599126,0.6949641989562072,0.3134581683303326,0.38090292775636625,0.43501097431209645,0.7145800803162814,0.45396764933115197,0.6154399194184315,0.030663965513376246,0.04056411132659582,0.20080478354515507,0.891678146637906,0.8129997224640246,0.7203910178398001,0.24188072333184785,0.4300143679084041,0.528848883526126,0.6521693688536777,0.6316179813607682,0.5835557080212626,0.23256987627287273,0.3907547885510363,0.2676608106368237,0.9401296871953679,0.861111480767426,0.8573983807243541,0.040146125364621976,0.06558959384836813,0.19432975563262567,0.8762392440531688,0.8217704885745372,0.7095167819591071,0.8045419233213313,0.7467735393052815,0.7224723081340834,0.8244887000746042,0.6613698733758799,0.7702081038696268,0.4090618837638642,0.6300131009413414,0.4028206032756514,0.6149119088855519,0.6766420748132198,0.5220220164684204,0.25603601003439597,0.19693346158048594,0.34692735176030987,0.20910384365350398,0.06416336692374713,0.4187974389676921,0.0807559024317539,0.03220253983173249,0.1754921882227203,0.531281853555706,0.6395946691105081,0.8492233686871009,0.27804247552536054,0.25461010315676,0.7872792559038004,0.36423960979093817,0.484843694821504,0.16981604401041428,0.27283946085377075,0.7233045083327134,0.23499220986721747,0.5473712502032217,0.3372328421718773,0.5995887388359145,1
0.7657037800666426,0.7407478473819831,0.5953182666014323,0.7722529611366493,0.7603741563675199,0.5068219873405111,0.909363378691175,0.8442222205016419,0.7928436471293537,0.26385259608887424,0.3209960803651173,0.3592877663064029,0.5897851927663211,0.6972317724162869,0.2566277831864756,0.10444057645970795,0.21785791384719871,0.09742846673207217,0.866794581235645,0.7816751864498328,0.6463388794633902,0.47217886175710966,0.43438149993127695,0.4796761843819901,0.7120480642931015,0.66167100786903,0.679729390933058,0.30036290027497703,0.36858520393664884,0.41463989376592814,0.7211402960300042,0.42950306883931955,0.6051849305370229,0.03191981917718267,0.04931187166783424,0.22430284883723317,0.9094441152169859,0.8313169719098368,0.7902035112103087,0.24810085285002437,0.4274003895478362,0.5799924846232223,0.6542473315066878,0.6464156333223419,0.5974947128768231,0.24513024982140053,0.4210366329574393,0.2930669852905172,0.9549409811663985,0.8056096116673066,0.8761965145603696,0.03529898113578073,0.06199861782070698,0.19427166373016352,0.8575774899340391,0.79646105569193,0.6803969222914112,0.8033828488850903,0.8068139850581657,0.7459445371405651,0.823993602072262,0.699218043067728,0.7879588886397781,0.41466734623944124,0.5945980279831273,0.3496810098386707,0.6114194174790997,0.6983044023864764,0.5023605228322672,0.26916777189260077,0.21914140508349228,0.3430983636529962,0.20443133571223604,0.14452895432932955,0.433861138174602,0.07834152475128975,0.0,0.20093265821290893,0.5302100706973061,0.6711380609418711,0.8333257390208506,0.2815889198237169,0.3117436562101785,0.8012666395654515,0.36829908406775846,0.49367035104935564,0.14321805538583382,0.27620694081455466,0.6725126503157863,0.24368618558301547,0.5819354047150966,0.33168225357268355,0.634137497130864,1
0.2480447334262994,0.17154037902302122,0.415414007276631,0.5848895449728433,0.6381801930667179,0.5891347825029314,0.08733533651405734,0.10339110283082878,0.11326366561361506,0.7905944256963773,0.7769262424448904,0.846075975837274,0.777778225486351,0.6806375254262278,0.8832529716543522,0.9133719397463325,0.8872213949324819,0.8958311517930967,0.2897410132151972,0.1957433810390632,0.4518754067481838,0.7197556615804608,0.3210927527650398,0.8781625436195508,0.025021822554678663,0.01950243916215494,0.203929446973942,0.8717770416693496,0.8052600123856206,0.8857170096039826,0.41233502433705915,0.23344097725799617,0.5296225006089443,0.7135144865985217,0.6904224593157069,0.7122481924457122,0.22046719939431725,0.1709086985929149,0.2598170251459928,0.9567919142955077,0.8608894579164712,0.9669462342025064,0.03379897127266601,0.05336730114575039,0.19278063665016032,0.9211665716892119,0.902749714333491,0.9387263633084744,0.2192468270811645,0.1312484663053608,0.6441686257530881,0.6546362093729171,0.6456907900939773,0.6015081165719665,0.39688476786792304,0.33002571307859396,0.4255302982050928,0.6072931845659462,0.6213985208455499,0.5738822065936469,0.2593582376233937,0.1503445624806001,0.3476162628219971,0.8769171260180668,0.8458023059226836,0.9200940208568902,0.8063284760295755,0.7393338140849481,0.9056773919936698,0.8261910938966158,0.7219796239936958,0.8073707723003841,0.2780672494672196,0.6515138443363622,0.24993175139531393,0.36881748724564867,0.45257345955985073,0.18384316672775305,0.25733549937896427,0.19128593148823203,0.8115782581476603,0.5440311587549775,0.6551092829627034,0.8445983142071458,0.07762034191023193,0.007751308658168643,0.17901774493153766,0.20536339491668065,0.11127202467986663,0.44265956416562313,0.5620590563614218,0.25649930724567227,0.6198700706442639,1
0.9593949719305206,0.7694154584327553,0.9068305364411202,0.641879755575749,0.7021529179123558,0.836291314233133,0.8826318277608359,0.7699821502297761,0.8817600064597331,0.43991611731195235,0.44016042718401227,0.5946576478934444,0.4810119468297227,0.6569162571460181,0.5686976804934085,0.11616405855591899,0.11927735894530778,0.21763837753632626,0.9344169990431572,0.7658913691745797,0.9202509007984165,0.4041888282547781,0.2643363573348845,0.6249393531516167,0.8055849370185788,0.7424200099458125,0.7475339798706419,0.3669711677732366,0.297868753893042,0.578623046420589,0.6835502724645206,0.37215603618565485,0.7933310497674224,0.060570988704349515,0.06792575472830809,0.20310911056746872,0.967274754999532,0.7328185208153806,0.9879895174321573,0.23200154801595296,0.17101663657833654,0.6500272903661646,0.7397860371753626,0.7138344906595553,0.6779852075218075,0.2991582687020644,0.2840233456889898,0.4626378342092705,0.9180648832270997,0.6577495394337864,0.9714702490247085,0.016139388297847557,0.05112823566708169,0.1449693072757634,0.9747957948605057,0.7579116191138047,0.9822811175511577,0.7104782197495574,0.7323332720871658,0.8935126417923986,0.8521702347491852,0.662328575410733,0.8891265115593145,0.5125603246941504,0.5396750199600326,0.626325170175873,0.47377801182723656,0.6152115379396177,0.5464808045329572,0.33285830672591105,0.2831248359435934,0.37753478806890384,0.38961577540439785,0.5103863873488468,0.4684619052776459,0.24892006353750906,0.36172332424807463,0.3053275490013826,0.5816053948673119,0.6719365065845597,0.795841833172295,0.3045519495002367,0.23833491804108498,0.6686034402285679,0.4573835842659708,0.43100984722628954,0.2212743691881166,0.5140310040133163,0.7595957791998025,0.34243977913282464,0.6740703312257441,0.3467847880879589,0.8088002235224763,1
0.9446495942351101,0.9889379030440262,0.7428087528836755,0.6346533130331355,0.750850165919323,0.48415055686961317,0.8881312610408766,0.8544510788048166,0.7943823524520983,0.4752242339034396,0.8424978916385415,0.3682763209224835,0.46963295885209444,0.6999779173322418,0.21916331117594545,0.11278446701569911,0.22349870344736178,0.1213022888234605,0.942726567665944,0.8705883714856366,0.7734171951456217,0.4073827271205719,0.40586636612946947,0.4295665901791068,0.8046506678412366,0.7408759860453682,0.7396088182898082,0.36578051528098854,0.4176423582183215,0.3906339816090316,0.6553079154501713,0.4130979723159687,0.4777608821457324,0.060341165479884884,0.08727430187984947,0.19706974593832105,0.9551251250120938,0.9077896919491479,0.7383140093718499,0.23195441449458798,0.44691697087589866,0.5544119478853915,0.7362098643899977,0.716744054757375,0.6781286996017517,0.30561808371869503,0.6046119236214782,0.2835302791102223,0.9326540438519011,0.7867755038605591,0.7762631976469603,0.01629153502806674,0.0692925801733944,0.1440647853460273,0.9677591386811972,0.9189832847865391,0.77659564806443,0.7193846691526835,0.7392922567225826,0.7849527668161111,0.8604307484251554,0.6741097310557871,0.9051201549659911,0.5022364675279061,0.6506856609457516,0.4239249125734008,0.48103558416932213,0.6469996619043563,0.3957765394707111,0.32799788314521877,0.28462859050974854,0.389654255413199,0.39255039172054196,0.47627328297588534,0.4707611434976899,0.2519680897616936,0.39867299048579197,0.30838822702090596,0.5766506471058275,0.6361286264262018,0.7826125694357713,0.30108634356916575,0.4123030914827508,0.6844601376624788,0.4577456794815018,0.45124232944812626,0.20535784958849962,0.5148986851332464,0.8386578203269064,0.3370777419505605,0.6711959160907846,0.4493080435583501,0.7846611979179228,1
0.9550088455049259,0.9674885396728898,0.6536602966475993,0.6520745897162161,0.7677414003336005,0.3777626140330659,0.8858723284995749,0.8294101390792139,0.7908468207951014,0.4462262521431244,0.7160060526626344,0.46740013407686787,0.4843200903877749,0.772349805033381,0.2477165610857126,0.11512271049393552,0.2370486638420498,0.14042851328018502,0.9257105413194555,0.8541986858729906,0.7332038786096327,0.38876637085034105,0.3467786110138098,0.3500158505648896,0.8012756175248714,0.7539735143379996,0.7462342870720953,0.37083400898634444,0.3804058676667239,0.4490837778764156,0.68854509339495,0.47467835213577114,0.4997998788498865,0.06554364632632015,0.08455359182496208,0.20324808296992358,0.9727815711892926,0.8578604976608584,0.8632639107345437,0.23392279634195035,0.42584632178689397,0.541949084089107,0.740412321687677,0.7405074553670847,0.6781477085378006,0.2890298547262491,0.45193328587748294,0.26104415776093237,0.9120828856785774,0.80654741297682,0.847654662313702,0.019033134041436917,0.058864453249261955,0.14685520980727018,0.9775451045078754,0.8866953171295799,0.84049218989687,0.7259800536442054,0.7957881742966535,0.7005690432321638,0.8539289236346226,0.6731469646195819,0.8864689131747997,0.5209292654209321,0.6634309534119769,0.4774711455587979,0.4796315125041415,0.6442570047305858,0.4638589952008021,0.33976176073083,0.30769564141666716,0.37538385432552857,0.38542793864469993,0.5560298049057408,0.45797378023638574,0.25031019049224246,0.3638075416125912,0.29296086752880335,0.5946379252164675,0.6621035234982813,0.78857168040673,0.30572024514382257,0.363025382061954,0.6655920583005743,0.4598849227593491,0.4039153971340368,0.22508580640932774,0.5161782417007468,0.8749921687962363,0.3127930552132687,0.6808703473573345,0.4482589149042937,0.7661033567744528,1
0.9637420749129495,1.0,0.7162890897977254,0.6489672081231683,0.7680805609099708,0.6130715905456761,0.8922842991818103,0.8662620458759321,0.7337615464564066,0.47300095156513855,0.7870901226495786,0.4505433871328206,0.47744059681381756,0.6915296599804854,0.2767244751737765,0.12136499165139508,0.24337388978511357,0.1934003045492783,0.9328096747209722,0.8590968489431123,0.7755499718492596,0.3970720100643259,0.3138695546918786,0.4354247379651479,0.803355139389991,0.7505135646046277,0.7172945699757516,0.3710939174120931,0.4209774984695427,0.42297541390965154,0.6981042031858085,0.47407886952268896,0.5547722000290936,0.060785095078699225,0.06959642493379531,0.17666202178371315,0.9692416774788102,0.8940891849540815,0.838792238812391,0.22632579988342272,0.42086613393458805,0.5014626041964814,0.7392051271144526,0.7173077225336455,0.6943042157100167,0.2895140093266688,0.5248211734158303,0.27109618581646977,0.8982431964015856,0.8719810876907212,0.804992354227898,0.015264845099227486,0.04615308418389852,0.12723229790659418,0.973848710830131,0.9298778793911291,0.8087862043939165,0.7160826870432382,0.7583825011248164,0.7732326867103025,0.8498679368151162,0.6223179598299576,0.8813892311226911,0.5031654689595344,0.6160353607573468,0.4819986233688218,0.4824156149693364,0.6667770559530775,0.3358393032500535,0.3392661680238301,0.31076780135404986,0.3619701715105037,0.38934330671189543,0.663987020620743,0.4673961656937274,0.2506315517961133,0.37495582338621736,0.3093285040546234,0.5729980373151786,0.6775368946375844,0.7813398966045735,0.30145167492679015,0.37035030625028575,0.6617945999563375,0.4545991636715643,0.4305156531918155,0.19049750952374694,0.5166324206170676,0.8368494268621554,0.3385870338003971,0.6753230348159853,0.4847587831804372,0.7857152873567128,1
0.42772996864901813,0.3386662368657438,0.5103411695016726,0.4679727580992905,0.6585310328349077,0.5319731145587294,0.11303818730481546,0.10407842770626935,0.11815962027600002,0.9668451077041853,1.0,0.9228737905838882,0.6506994045960939,0.7004311775460028,0.8491370088108203,0.8877279921161787,0.8824252954092684,0.8950984380923784,0.35982949804379416,0.2538573170964886,0.5025968391367153,0.6885431886283335,0.37215603618565485,0.8302770751956698,0.05725493291016659,0.06540923129170095,0.18456167926562494,0.9395746882047851,0.8986745403393521,0.9324402514573049,0.3950492229244045,0.2643363573348845,0.5432945181267002,0.8082890463136495,0.7709835218223353,0.7532764082620157,0.28073346818561884,0.2112680318271316,0.32346831451510294,0.9359947446278696,0.883461688605971,0.9715535157113901,0.014075076099084871,0.04501882097994578,0.13284379955056003,0.9887512108968028,0.9851825014167197,0.9904601971151994,0.20886437991399553,0.12732426928711416,0.6490028731600033,0.7407259666684392,0.7219085676828327,0.682487963601739,0.49547464327338187,0.43185410408069824,0.5293866721196618,0.46838643184828643,0.5922292443860326,0.44458960030603034,0.3301472443987979,0.26010554562163996,0.35219232952745805,0.9832516022816327,0.9471392405634074,0.9859309118728823,0.7142822472941199,0.7607525006168432,0.9130479712869399,0.8539469002119979,0.6905516038490191,0.893463920503707,0.5160042961120823,0.8223157235438343,0.3319818326172202,0.4598831731756867,0.4024635474470739,0.23624701330139994,0.2880120809574773,0.21348691628697747,0.6669195239093366,0.5995477439894294,0.7501440135580495,0.7968739719300526,0.2469327609097447,0.38645790569646943,0.2917091624742617,0.38712718643980426,0.4714580233495358,0.47338071521947833,0.6740703312257441,0.3467847880879589,0.8088002235224763,1
