knee_valgus_mean,knee_valgus_max,knee_valgus_min,torso_angle_mean,torso_angle_max,torso_angle_min,squat_depth_mean,squat_depth_max,squat_depth_min,label
1.5699861893490181,1.775478294439033,1.2849557509869656,157.8868340347604,176.48448132174676,128.79961055657844,-0.0908787131309509,0.0228403210639953,-0.1639951169490814,1
1.5243116031968227,1.7089385570265403,1.2895300680856738,156.7236793915439,178.3450384913391,128.31525218006962,-0.09266572069096304,0.0186852216720581,-0.173999398946762,1
1.4841288503156984,2.121628120457166,1.0499840164261958,150.28690103910785,171.30781075687403,127.00857002811009,-0.09719354850905279,0.0143792629241943,-0.1652800738811493,1
1.508663032860137,2.170109700390879,1.0437941460716404,153.73073648314858,169.5816076669698,133.03649822800904,-0.09874474244159565,0.027256429195404,-0.1633726358413696,1
1.636902323336762,2.327453082582524,1.1646461660896537,151.96310830722945,169.69869846358725,130.90624793061576,-0.09492223535742712,0.0149007439613342,-0.1601340770721435,1
1.649951694161756,2.2766843603043574,1.147339202157189,150.97554375884104,169.49707712592027,130.24318702196263,-0.0941096000994245,0.0151439309120178,-0.1566133499145507,1
1.6010185742188758,2.335554786721483,1.1438008987372783,151.68614948812683,170.31356297200304,130.29603187773893,-0.10002579694927326,0.0095677971839904,-0.1628448963165283,1
1.5931550897343572,2.232717216328889,1.122504691051514,150.34369013630592,170.20571942753935,129.1179389186675,-0.09430056998604221,0.0171480774879455,-0.1592334508895874,1
1.5745177548403793,2.207675638489982,1.094705273379625,150.9162790362675,169.21839039757842,128.88601607595135,-0.09584316296073103,0.0184590220451354,-0.1591740548610687,1
1.5641214372764283,2.232814795623885,1.0703143764267689,149.25542817418327,171.1413740661306,125.96089302546658,-0.09090894460678096,0.0212805867195129,-0.1606606841087341,1
1.545181654805369,2.27170704725418,1.0732203104737004,150.6319233020066,169.14174461672704,128.6239568613858,-0.09511921953673311,0.017529010772705,-0.1628483533859253,1
1.4945752584413983,1.7570505342873362,1.319488220068501,159.06722658616042,177.70933862549103,126.34270012502176,-0.10055807533384369,0.0268484950065612,-0.1733372211456298,1
1.560176004358327,2.1850695094276644,1.1394816594210764,149.13440904122302,172.9139582483608,127.94633811539796,-0.09373620213921535,0.0156506896018981,-0.1687304973602295,1
1.515516520778307,2.1914960081569546,1.1009296128504902,150.15917170848456,169.7330903336602,129.8681100474486,-0.09643701190995695,0.0202184319496154,-0.157959371805191,1
1.5629952352094116,1.8314760593883603,1.296929519448294,152.45265575599623,175.3166295686907,127.99327897598413,-0.0775792510299892,0.0132266283035278,-0.1653039753437042,1
1.524060731129574,1.7131627750589455,1.3178956383613385,158.06899440182525,176.06659222452942,128.39386064777167,-0.09568483534112437,0.0085067749023437,-0.1659068167209625,1
