valgus_left_mean,valgus_left_max,valgus_left_min,valgus_right_mean,valgus_right_max,valgus_right_min,valgus_asymmetry,torso_angle_mean,torso_angle_max,torso_angle_min,squat_depth_mean,squat_depth_max,squat_depth_min,label
137.93441618552433,177.98979952315952,59.53549490465174,150.99251077944186,179.59609404565583,84.59298370752505,13.05809459391753,157.8868340347604,176.48448132174676,128.79961055657844,-0.0908787131309509,0.0228403210639953,-0.1639951169490814,1
138.53626815466183,179.86660335937674,62.11549311630988,151.67069302925717,178.69226362610846,87.94118151891607,13.13442487459534,156.7236793915439,178.3450384913391,128.31525218006962,-0.09266572069096304,0.0186852216720581,-0.173999398946762,1
141.08994305012672,177.25790981679677,65.04109381846297,150.84841880602693,172.0940300562632,86.33402109457751,9.758475755900207,150.28690103910785,171.30781075687403,127.00857002811009,-0.09719354850905279,0.0143792629241943,-0.1652800738811493,1
138.71727074245604,177.83872628394744,51.82062022303119,150.68250704144958,172.5977694331767,82.41946032702673,11.965236298993545,153.73073648314858,169.5816076669698,133.03649822800904,-0.09874474244159565,0.027256429195404,-0.1633726358413696,1
136.21709384600396,175.20042730808282,59.68724014348686,152.19170742336354,173.319906717187,84.67101692341649,15.974613577359577,151.96310830722945,169.69869846358725,130.90624793061576,-0.09492223535742712,0.0149007439613342,-0.1601340770721435,1
135.8570039408339,176.46514282124355,60.45720515956421,152.0108900305568,172.7210951491497,94.5517761257472,16.153886089722903,150.97554375884104,169.49707712592027,130.24318702196263,-0.0941096000994245,0.0151439309120178,-0.1566133499145507,1
139.92974244026593,176.79879629277022,63.83484176233527,153.79112515740556,172.94544910779382,93.35746462661004,13.861382717139634,151.68614948812683,170.31356297200304,130.29603187773893,-0.10002579694927326,0.0095677971839904,-0.1628448963165283,1
136.9718899880278,175.78416006490136,59.02326068571983,150.99719208127814,172.80781192882176,83.74341523153124,14.025302093250332,150.34369013630592,170.20571942753935,129.1179389186675,-0.09430056998604221,0.0171480774879455,-0.1592334508895874,1
138.2466034973474,177.16496806076728,57.77975010878241,151.4105636477205,172.963936012152,82.41066740621535,13.1639601503731,150.9162790362675,169.21839039757842,128.88601607595135,-0.09584316296073103,0.0184590220451354,-0.1591740548610687,1
136.00229710635745,177.24310167920794,57.16112679620483,149.26216835963461,173.15130606931206,77.73633051164869,13.259871253277169,149.25542817418327,171.1413740661306,125.96089302546658,-0.09090894460678096,0.0212805867195129,-0.1606606841087341,1
138.5390406922811,177.71292790292364,58.39530268024762,150.88411624884665,172.67187479886195,79.56899886946091,12.345075556565547,150.6319233020066,169.14174461672704,128.6239568613858,-0.09511921953673311,0.017529010772705,-0.1628483533859253,1
142.24969374577884,179.8310165311969,56.8324506626262,153.68246795431284,179.01554355447283,85.82117509581391,11.432774208534,159.06722658616042,177.70933862549103,126.34270012502176,-0.10055807533384369,0.0268484950065612,-0.1733372211456298,1
137.77999951479975,177.9207937477779,59.06680543401443,151.15594559736687,174.62352202786474,86.32301160625835,13.375946082567111,149.13440904122302,172.9139582483608,127.94633811539796,-0.09373620213921535,0.0156506896018981,-0.1687304973602295,1
139.66226003809942,176.8294371063287,55.70657016974077,151.56630295979943,174.24059429713137,87.81120939319337,11.904042921700011,150.15917170848456,169.7330903336602,129.8681100474486,-0.09643701190995695,0.0202184319496154,-0.157959371805191,1
130.81309367443592,177.798557307757,67.67086857998517,145.73485235337867,179.16696249327708,85.50441392833575,14.921758678942751,152.45265575599623,175.3166295686907,127.99327897598413,-0.0775792510299892,0.0132266283035278,-0.1653039753437042,1
140.17879573543757,177.38439180429523,69.81095953996129,152.31087807858916,179.34741569951052,93.06450675623306,12.13208234315158,158.06899440182525,176.06659222452942,128.39386064777167,-0.09568483534112437,0.0085067749023437,-0.1659068167209625,1
138.45907923708475,179.06129839852045,69.64613593685837,152.29051143408725,179.47641711289754,94.9548531606268,13.8314321970025,156.82501274269984,176.1913845888801,134.00773678905782,-0.09185053315013643,0.0087288618087768,-0.1651934087276458,1
143.02344270747213,179.937150986738,71.36300358535675,154.34269385886805,179.7005641162905,94.51517188255433,11.319251151395918,158.47301213430055,176.8981005815595,128.66355981603115,-0.09929707730716127,0.0081253051757812,-0.1683348417282104,1
141.35956335587213,179.9765282748279,68.12008472510882,153.50594486619133,179.6719643927675,87.29988713387021,12.146381510319202,159.2366113176259,177.9737798518291,136.22069274461987,-0.09979094459552953,0.0088571310043334,-0.1718006730079651,1
144.46516735043085,179.9783549068294,73.0205266123731,155.677703662052,179.1125360814518,101.70525034351022,11.212536311621164,159.03468716001433,179.0128865955952,131.1688763414234,-0.10243475250899788,0.0046970844268798,-0.1716163158416748,1
147.2974753629222,179.9537528900096,71.4068142153806,156.84014455008685,179.99453757976212,96.31326249476422,9.542669187164648,161.49806293321,179.49678306403345,129.1572975451189,-0.10707642467676008,0.0093880891799926,-0.1696556508541107,1
144.72565364562178,179.89918041748092,65.85178577561135,156.69999011475446,179.6676777407686,93.37917532258363,11.97433646913268,160.13775923725825,178.5315028247894,134.866418978211,-0.1035826904699206,0.0122957229614257,-0.1704243719577789,1
136.03775002177812,179.56687957428358,67.6605568545298,149.49527291618105,179.86280185346834,91.20443488292334,13.457522894402928,157.08783449660655,177.2375530979496,126.84979502008764,-0.08706077965016058,0.0095568299293518,-0.1715672016143798,1
140.45471876685792,179.97661795892637,74.31938168181831,153.64891675549177,179.78106643498325,98.91589397068977,13.194197988633846,157.46671469303064,177.0224755193928,133.526720579827,-0.09506508295840403,0.001339316368103,-0.1690936982631683,1
140.4058626494063,178.21457238893754,66.08075305237236,152.3366980785283,172.17569363227815,87.10416895052919,11.930835429121998,151.60536790493975,172.15492851702126,129.6887359132929,-0.09855997464159029,0.0094795227050781,-0.1683781743049621,1
138.78697265374163,174.82636196098514,64.41094144615026,151.7329730095796,171.45391049868374,91.82505057212764,12.946000355837981,150.79655166196068,169.90177024329773,128.18130996096514,-0.09600490398621289,0.0115948915481567,-0.1572116911411285,1
134.38513151451872,174.46805602459565,55.99860868517999,147.96060239687256,170.69888097432474,83.07851192051737,13.57547088235384,148.69380464093436,170.31677994576694,126.24502259114296,-0.08975273946469478,0.0216686725616455,-0.1568121314048767,1
137.19583250213202,177.18086205008186,63.4350297797479,149.54595528387307,171.57339696850565,87.73043248560761,12.35012278174105,148.8551702538916,170.01937978658663,128.55192064559895,-0.09222512553026387,0.0139828920364379,-0.1587762534618377,1
135.87665847607326,175.87552661555458,61.53530282411595,149.01736015847675,172.46889782837405,85.97562228898853,13.140701682403488,148.80241249756978,168.1316706447434,127.54663650376251,-0.09010183292886481,0.0165898203849792,-0.1614002585411071,1
