frame,knee_valgus_ratio,torso_angle,squat_depth
0,0.9222924244905079,171.73909749539206,-0.16415148973464966
1,0.8406629144874824,172.38063432131221,-0.16588488221168518
2,0.8079102445037669,172.3919205404288,-0.16750213503837585
3,0.7764117689197167,172.68280489551313,-0.17015284299850464
4,0.7554633962723158,172.30610910479075,-0.17038530111312866
5,0.7603851819476155,172.14705996171017,-0.17093169689178467
6,0.761481807062511,171.89651987510825,-0.17093002796173096
7,0.7612522154898809,171.78331728595893,-0.17102035880088806
8,0.7615040679479244,171.70693551898768,-0.17187750339508057
9,0.7758854439105947,171.60119732556498,-0.17302033305168152
10,0.791314057648789,171.3669364585114,-0.17281275987625122
11,0.8004497520914958,171.05979816217325,-0.17254486680030823
12,0.81386639600203,170.6351682885852,-0.17209193110466003
13,0.8312965957685824,169.9856426245745,-0.1719580590724945
14,0.8359955922252781,169.0370013769984,-0.17100754380226135
15,0.8527280881302506,167.89806482116668,-0.16707101464271545
16,0.8107696644573392,166.25581040565714,-0.16296717524528503
17,0.7904267757720329,165.39389099063425,-0.15608984231948853
18,0.7828314295015585,164.61184251014205,-0.15241453051567078
19,0.7995415391015404,163.94638918351185,-0.1471097469329834
20,0.860519073178274,163.34836895271366,-0.14380371570587158
21,0.925640271190263,162.78124541605212,-0.13907158374786377
22,0.9207449434151799,161.91286185169642,-0.13009700179100037
23,0.8905643778372676,159.91832149925804,-0.11925315856933594
24,0.8179161754746795,158.07180706063275,-0.11312299966812134
25,0.6885537708741901,155.6937703030404,-0.1040354073047638
26,0.6929165598792892,153.72601972389637,-0.09644103050231934
27,0.7121933795825091,152.18875157213165,-0.08706969022750854
28,0.6964881384747502,151.07890983917633,-0.08759444952011108
29,0.7515571780901098,149.6721756834653,-0.07968175411224365
30,0.7906863329096446,149.3158074132867,-0.0760880708694458
31,0.8278623624350642,148.45311671416897,-0.07476162910461426
32,0.8089399079641262,147.74936094370358,-0.07093292474746704
33,0.8026185382873995,146.27548146096083,-0.06897491216659546
34,0.7966765283955726,145.55582024358895,-0.06723970174789429
35,0.7585508082082426,144.99431644932608,-0.06150716543197632
36,0.8467958789364814,144.3203057666883,-0.06079941987991333
37,0.7976934861694005,143.85070477215928,-0.057616353034973145
38,0.8661585624487474,143.93529164604416,-0.051228344440460205
39,0.7973392965112187,143.5575618292434,-0.04825776815414429
40,0.7664852321395055,144.09619443361277,-0.04818379878997803
41,0.7610026914744966,144.06756154032308,-0.04340630769729614
42,0.7778341715498547,144.03809913884734,-0.04151952266693115
43,0.7798777202319134,144.00168006892267,-0.04051947593688965
44,0.7759723941020692,142.90997452125288,-0.04170793294906616
45,0.766260154051314,142.78513535488221,-0.04517608880996704
46,0.7662561869467784,143.18567624618686,-0.04656553268432617
47,0.8364125178551738,143.20080819276228,-0.04838705062866211
48,0.8896597243705866,143.09198562511494,-0.04963916540145874
49,0.9750540579744368,144.0951370699125,-0.051788389682769775
50,0.9925021970188275,144.91961293937442,-0.06134718656539917
51,1.0746778714325804,145.39795693001952,-0.07453209161758423
52,1.0342364848636563,145.73978359128947,-0.08097583055496216
53,0.9330760936844837,147.06707753427622,-0.08964520692825317
54,0.8257388196786466,147.9865266189694,-0.093178391456604
55,0.7648801642084025,149.49496992907225,-0.09645038843154907
56,0.753828192013216,150.68188482615662,-0.10283017158508301
57,0.7175562047031596,152.4853928509867,-0.10615557432174683
58,0.6995400504716365,153.37871725609628,-0.1153973937034607
59,0.657133998268218,154.2052481983262,-0.12174326181411743
60,0.7177285402298944,154.9507059515369,-0.13054192066192627
61,0.8361531424573959,156.09122546474396,-0.13455966114997864
62,0.8249234178452715,157.6084350883734,-0.13746824860572815
63,0.8084055444461535,159.31644381183014,-0.1407148540019989
64,0.8180478097437536,161.06365170067892,-0.14793357253074646
65,0.8699965162127571,162.75287553113776,-0.15286758542060852
66,0.8417861780814183,164.59099729042663,-0.15524843335151672
67,0.8461247413642562,165.14815203720792,-0.1552705466747284
68,0.8164008298532675,166.66508839339645,-0.16057920455932617
69,0.8467071532094856,167.56367283812597,-0.16266557574272156
70,0.8504940524377823,169.18132626464694,-0.16507112979888916
71,0.8399088549216189,171.03445276198894,-0.16493123769760132
72,0.8175707914460474,172.1989501031825,-0.16494035720825195
