frame,knee_valgus_ratio,torso_angle,squat_depth
0,1.250954035194299,166.9620849491255,-0.1589016318321228
1,1.2273053038673154,165.12305827174373,-0.15912076830863953
2,1.19397860685193,164.5251592239011,-0.15922167897224426
3,1.1904339306677023,164.26987050220913,-0.1591290533542633
4,1.1827748117266268,164.25052898603303,-0.15974393486976624
5,1.1723757375100812,164.3042845134851,-0.15948078036308289
6,1.1670769088240134,164.47715875643544,-0.15946495532989502
7,1.1617836249633027,164.7108955407671,-0.15919488668441772
8,1.1589599159047184,164.72339455212378,-0.1594904661178589
9,1.1596998690256843,164.5807866183256,-0.15940770506858826
10,1.1616688396349413,164.60668931799614,-0.15934529900550842
11,1.1684539846144264,164.60078876693063,-0.15940046310424805
12,1.170469024016319,164.632149800024,-0.15942344069480896
13,1.1745092295576343,164.59120300110118,-0.15937021374702454
14,1.1756123814162003,164.50889555269578,-0.1593465805053711
15,1.1783190237475856,164.50529520885715,-0.1593141257762909
16,1.186375930757971,164.36642409143172,-0.15886205434799194
17,1.1950549428798318,164.26225721362596,-0.1581459939479828
18,1.1894420712620037,164.2205976999953,-0.15713894367218018
19,1.1848200473261787,164.11390015579371,-0.15579602122306824
20,1.1879560118243837,163.82209478979894,-0.15516752004623413
21,1.1910036214721207,163.52600290443547,-0.15564557909965515
22,1.206169194480826,163.12350193847337,-0.15581601858139038
23,1.2168044778116451,162.80088718965837,-0.15544331073760986
24,1.2184041019708352,162.6888498015335,-0.1553553342819214
25,1.2184865959872688,162.51793559917456,-0.1553604006767273
26,1.212295651694648,162.51761439344966,-0.1551852822303772
27,1.2088729449863942,162.49455907973444,-0.15533027052879333
28,1.20763584359498,162.47793706229686,-0.15547195076942444
29,1.2069028545207732,162.4648365602559,-0.1554473638534546
30,1.2072119810735007,162.41691704850174,-0.15551084280014038
31,1.211009876263608,162.38320622932136,-0.15566489100456238
32,1.2190789071105128,162.32694031758592,-0.1556393802165985
33,1.2253668131299684,162.24701626899318,-0.15487653017044067
34,1.2196823766756195,161.99462773757446,-0.15360990166664124
35,1.221738956008729,161.6953587372606,-0.15239974856376648
36,1.2244139089980677,161.1704338105638,-0.1497870683670044
37,1.2323903722522358,160.9359601024894,-0.14752861857414246
38,1.283796967228131,160.48321813968263,-0.1445559859275818
39,1.3084978198748312,159.91679638817678,-0.14123797416687012
40,1.358283438244083,158.84984979983352,-0.13481301069259644
41,1.4597079861857218,157.70737634131785,-0.1296197474002838
42,1.5211630265458356,156.73340346723265,-0.12560859322547913
43,1.5646058048024087,155.78406967059567,-0.12210837006568909
44,1.6626429654338286,154.4572691784941,-0.11379331350326538
45,1.7787798756787219,152.76233220776996,-0.10347437858581543
46,1.843867097501076,150.04953085822038,-0.09333890676498413
47,1.9544326954504971,149.10788602562954,-0.08593869209289551
48,1.9807132416537963,148.23437482538498,-0.07956051826477051
49,1.9953608960450235,147.15576339268432,-0.07394212484359741
50,2.0345781720148466,144.97636792670195,-0.06598538160324097
51,2.063653375765182,143.4065967982302,-0.05642169713973999
52,2.061304281204011,142.808452025141,-0.05183786153793335
53,2.059358667991682,142.11227072058753,-0.04412209987640381
54,2.0922683852147124,140.4998032766168,-0.037023842334747314
55,2.1015398066044946,139.61190118304796,-0.025187790393829346
56,2.1728705305468283,137.80998315040395,-0.017853498458862305
57,2.1489193397888826,137.41577024640713,-0.015376806259155273
